artist,artist_mbid,album,album_mbid,track,track_mbid,timestamp,datetime
Led Zeppelin,678d88b2-87b0-403b-b63d-5da7465aecc3,Celebration Day,0188a64a-57f6-4200-821f-6d4f1dd081ef,"Good Times Bad Times - Live: O2 Arena, London - December 10, 2007",,1606353498,2020-11-26 01:18:18
Led Zeppelin,,The Complete BBC Sessions,,Since I've Been Loving You - 1/4/71 Paris Theatre; 2016 Remaster,,1606353008,2020-11-26 01:10:08
Led Zeppelin,,Led Zeppelin IV (Deluxe Edition),,Black Dog - Remaster,,1606352629,2020-11-26 01:03:49
Led Zeppelin,,Led Zeppelin III (Remaster),,Immigrant Song - Remaster,,1606352483,2020-11-26 01:01:23
Led Zeppelin,,Led Zeppelin II (1994 Remaster),,Whole Lotta Love - 1990 Remaster,,1606352150,2020-11-26 00:55:50
Audioslave,020bfbb4-05c3-4c86-b372-17825c262094,Revelations,01f4c33a-c7c2-496e-82e4-b1c99dce6e6b,Original Fire,0537a746-37ff-4bbf-a011-29113568323c,1606351714,2020-11-26 00:48:34
Audioslave,020bfbb4-05c3-4c86-b372-17825c262094,Audioslave,07fc4a1d-ae17-484f-a23b-10a6c8fc0b1d,I Am The Highway,01789893-7238-330b-aec5-04a97deea13f,1606351361,2020-11-26 00:42:41
Audioslave,020bfbb4-05c3-4c86-b372-17825c262094,Out of Exile,5b9d571c-6ad5-4d1f-a5f0-c98b7715a9d1,Doesn't Remind Me,01863dc1-6300-47f0-9739-a0a4d60cd848,1606351093,2020-11-26 00:38:13
Audioslave,020bfbb4-05c3-4c86-b372-17825c262094,Audioslave,07fc4a1d-ae17-484f-a23b-10a6c8fc0b1d,Show Me How To Live,05970f12-5a1a-3136-8b21-0f47db4f64b2,1606350681,2020-11-26 00:31:21
Audioslave,020bfbb4-05c3-4c86-b372-17825c262094,Audioslave,07fc4a1d-ae17-484f-a23b-10a6c8fc0b1d,Like a Stone,0181d73a-1a86-3b06-adf6-f7471dc00eeb,1606350388,2020-11-26 00:26:28
Velvet Revolver,3a528006-1429-47f4-ae9b-2ea95343e16a,Libertad,0fbed91a-d133-38bd-9496-954e197b8ff0,Mary Mary,0df39ce2-0be3-35e2-b641-6b9afc7851dc,1606349899,2020-11-26 00:18:19
Velvet Revolver,3a528006-1429-47f4-ae9b-2ea95343e16a,Libertad,0fbed91a-d133-38bd-9496-954e197b8ff0,Gravedancer,03a5ed8a-65f5-3ec2-8e48-cbc073df9329,1606349272,2020-11-26 00:07:52
