artist,play_count
The Agonist,17
Jinjer,14
The Skatalites,13
Scott Bradlee's Postmodern Jukebox,12
Ben Böhmer,10
Greta Van Fleet,10
Eluveitie,9
Velvet Revolver,9
Children of Bodom,8
Omnium Gatherum,7
The Strokes,7
Cercle,6
Haggard,6
Audioslave,5
David Bowie,5
Epica,5
Ghost,5
Insomnium,5
Led Zeppelin,5
Arch Enemy,4
CHON,4
Dash Berlin,4
Mouse on the Keys,4
Polyphia,4
The Pigeon Detectives,4
deadmau5,3
Monolink,3
Paul van Dyk,3
Be'lakor,2
Jan Blomqvist,2
Joris Delacroix,2
Look See Proof,2
Metallica,2
Rey Pila,2
Rush,2
The Interrupters,2
The Parcels,2
Unleash the Archers,2
Vicky Psarakis & Quentin Cornet,2
1,1
2112,1
Aetherian,1
Arctic Monkeys,1
Armin van Buuren,1
Ben Böhmer & Monolink,1
Ben Böhmer & Wood,1
Ben Böhmer feat Jan Blomqvist,1
Ben Böhmer feat. Jonah,1
"Ben Böhmer, Nils Hoffmann & Malou",1
Benjamin Francis Leftwich,1
Christian Löffler,1
Faul & Wad Ad,1
Garasxetia Vigdorcik,1
Iggy Pop,1
Ivy Crown,1
Joy Division,1
Kaskade,1
Kim Carnes,1
Laura Veirs,1
Milky Chance,1
Morgan Page,1
Morrissey,1
Mors Principium Est,1
Music Is My Occupation,1
New Order,1
Pink Floyd,1
Sonata Arctica,1
The Cinematics,1
The Gaslamp Killer,1
The Holloways,1
The Oh Hellos,1
The Stone Roses,1
TotorRo,1
Trivium,1
Vicky Psarakis & Cody Johnstone,1
Wintersun,1
